date,close,volume,source,log_return,vodacom_era
2022-10-25,24.4,1719200,xlsx,-0.006128721941373499,pre_announcement
2022-10-26,24.95,3942600,xlsx,0.022290689898371432,pre_announcement
2022-10-27,25.3,184300,xlsx,0.013930573535947002,pre_announcement
2022-10-28,24.85,5331000,xlsx,-0.017946643190836827,pre_announcement
2022-10-31,25.1,2762400,xlsx,0.010010093595100425,pre_announcement
2022-11-01,25.0,12664700,xlsx,-0.003992021269537561,pre_announcement
2022-11-02,24.8,2707000,xlsx,-0.008032171697264267,pre_announcement
2022-11-03,24.8,1566400,xlsx,0.0,pre_announcement
2022-11-04,24.8,7198300,xlsx,0.0,pre_announcement
2022-11-07,24.95,443100,xlsx,0.006030169026591231,pre_announcement
2022-11-08,25.0,5075700,xlsx,0.0020020026706731903,pre_announcement
2022-11-09,25.15,1825300,xlsx,0.005982071677547469,pre_announcement
2022-11-10,25.5,4195400,xlsx,0.013820555618632316,pre_announcement
2022-11-11,25.25,7744500,xlsx,-0.009852296443011594,pre_announcement
2022-11-14,25.1,2129000,xlsx,-0.005958309583630523,pre_announcement
2022-11-15,25.05,8613200,xlsx,-0.0019940186068643953,pre_announcement
2022-11-16,25.25,20419500,xlsx,0.007952328190495015,pre_announcement
2022-11-17,25.25,5792100,xlsx,0.0,pre_announcement
2022-11-18,25.25,12424900,xlsx,0.0,pre_announcement
2022-11-21,25.35,5305700,xlsx,0.003952574315823342,pre_announcement
2022-11-22,25.0,1515000,xlsx,-0.013902905168991493,pre_announcement
2022-11-23,25.0,4009000,xlsx,0.0,pre_announcement
2022-11-24,24.85,1180300,xlsx,-0.00601807232556291,pre_announcement
2022-11-25,24.65,499100,xlsx,-0.008080852053938783,pre_announcement
2022-11-28,24.7,678800,xlsx,0.0020263431452324674,pre_announcement
2022-11-29,24.45,2798100,xlsx,-0.01017302771305052,pre_announcement
2022-11-30,24.35,3735200,xlsx,-0.0040983663922821365,pre_announcement
2022-12-01,24.5,323600,xlsx,0.006141268022082429,pre_announcement
2022-12-02,24.35,5275400,xlsx,-0.006141268022082465,pre_announcement
2022-12-05,23.65,3762700,xlsx,-0.029168734590656917,pre_announcement
2022-12-06,23.85,2657200,xlsx,0.008421102396408345,pre_announcement
2022-12-07,24.1,3595800,xlsx,0.01042762316225916,pre_announcement
2022-12-08,24.1,6624500,xlsx,0.0,pre_announcement
2022-12-09,24.3,1258500,xlsx,0.008264509849893431,pre_announcement
2022-12-13,24.9,876500,xlsx,0.024391453124159048,pre_announcement
2022-12-14,25.0,1645100,xlsx,0.004008021397538868,pre_announcement
2022-12-15,24.8,2925800,xlsx,-0.008032171697264267,pre_announcement
2022-12-16,24.95,4606000,xlsx,0.006030169026591231,pre_announcement
2022-12-19,24.9,264400,xlsx,-0.002006018726865743,pre_announcement
2022-12-20,24.8,901200,xlsx,-0.00402415029972538,pre_announcement
2022-12-21,24.75,2791700,xlsx,-0.002018164156237236,pre_announcement
2022-12-22,24.7,1202000,xlsx,-0.002022245380767809,pre_announcement
2022-12-23,24.6,624400,xlsx,-0.004056800695614318,pre_announcement
2022-12-28,24.45,153100,xlsx,-0.006116227017436205,pre_announcement
2022-12-29,24.0,3306100,xlsx,-0.01857638557293542,pre_announcement
2022-12-30,24.15,13959200,xlsx,0.006230549750635942,pre_announcement
2023-01-03,24.05,575900,xlsx,-0.004149383546811366,pre_announcement
2023-01-04,23.9,1882800,xlsx,-0.00625653761430526,pre_announcement
2023-01-05,23.9,279300,xlsx,0.0,pre_announcement
2023-01-06,23.5,2024400,xlsx,-0.016878037787351637,pre_announcement
2023-01-09,23.35,3736500,xlsx,-0.006403437035206913,pre_announcement
2023-01-10,22.95,5557600,xlsx,-0.017279047608352287,pre_announcement
2023-01-11,22.65,689700,xlsx,-0.013158084577511199,pre_announcement
2023-01-12,22.25,3003600,xlsx,-0.017817843316793786,pre_announcement
2023-01-13,22.0,2403000,xlsx,-0.011299555253933394,pre_announcement
2023-01-16,21.55,1927800,xlsx,-0.020666636808558996,pre_announcement
2023-01-17,21.1,4056800,xlsx,-0.02110277606773594,pre_announcement
2023-01-18,20.6,57134500,xlsx,-0.02398196468648544,pre_announcement
2023-01-19,21.75,107510304,xlsx,0.05432268173915757,pre_announcement
2023-01-20,22.55,2449000,xlsx,0.03612130841399425,pre_announcement
